timestamp_unix_seconds,git_commit,host,edition,num_games,games_completed,samples,min_ms,q1_ms,median_ms,mean_ms,q3_ms,p95_ms,p99_ms,max_ms,first_move_median_ms,first_move_mean_ms,first_move_max_ms,cpu_median_ms,cpu_mean_ms,cpu_p99_ms,run_wall_s,steal_ms,steal_pct_of_capacity,cpu_model,cores,slow_moves,slow_cpu_starved
1784742754,95b37e8-dirty,laptop-ryzen7235hs,official,50,50,2112,0.12,0.38,0.55,0.83,0.86,1.95,6.92,18.83,,,,,,,,,,,,,
1784742777,95b37e8-dirty,laptop-ryzen7235hs,official,20,20,846,0.13,0.39,0.52,0.79,0.84,1.87,5.63,19.78,,,,,,,,,,,,,
1785346713,10ec9bc-dirty,laptop-ryzen7235hs,official,30,30,1218,0.11,0.40,0.61,1.02,1.00,2.74,8.91,21.88,0.80,2.73,20.68,,,,,,,,,,
1785346725,10ec9bc-dirty,laptop-ryzen7235hs,german,20,20,831,0.11,0.45,0.64,0.96,0.98,2.15,8.08,42.48,0.76,2.11,11.37,,,,,,,,,,
1785347437,6d7a055,prod-epyc7551-2core,official,10,10,411,0.13,0.61,0.77,2.62,1.09,5.11,56.68,78.00,0.94,14.09,78.00,,,,,,,,,,
1785409032,34fba83-dirty,laptop-ryzen7235hs,official,30,30,1218,0.09,0.46,0.59,0.80,0.79,1.66,5.45,18.36,0.59,2.08,18.36,,,,,,,,,,
1785409519,242b7d2-dirty,stephen-len,official,30,30,1218,0.10,0.25,0.34,0.58,0.52,1.49,5.23,18.59,0.53,1.91,18.59,,,,,,,,,,
1785409605,242b7d2-dirty,stephen-len,official,30,30,1218,0.10,0.25,0.34,0.56,0.50,1.32,4.97,16.51,0.54,1.85,16.51,,,,,,,,,,
1785409606,242b7d2-dirty,stephen-len,official,30,30,1218,0.09,0.25,0.34,0.56,0.50,1.32,5.32,16.61,0.51,1.90,16.61,,,,,,,,,,
1785409607,242b7d2-dirty,stephen-len,official,30,30,1218,0.09,0.27,0.37,0.63,0.55,1.51,6.39,17.66,0.55,2.04,17.66,,,,,,,,,,
1785433486,636794a,prod-epyc7551-2core,official,10,10,411,0.08,0.40,0.50,2.13,0.75,3.05,60.57,80.61,0.54,8.55,80.61,,,,,,,,,,
1785435541,6d071a9-dirty,stephen-len,official,30,30,1218,0.09,0.21,0.30,0.55,0.47,1.36,5.40,19.83,0.49,2.05,19.83,,,,,,,,,,
1788468839,8eb923b,stephen-len,official,30,30,1229,0.09,0.17,0.22,0.43,0.35,1.03,4.62,14.23,0.43,1.50,13.56,0.22,0.42,4.61,0.6,0,0.00,AMD Ryzen 5 7235HS,8,,
1788468862,8eb923b,instance-20260802-1723,official,30,30,1229,0.09,0.32,0.45,2.04,0.77,3.23,56.66,78.56,1.06,7.23,71.82,0.44,1.80,56.34,2.8,1650,29.24,AMD EPYC 7551 32-Core Processor,2,,
1788468886,8eb923b,instance-20260712-1225,official,30,30,1229,0.08,0.26,0.36,1.86,0.64,2.49,59.58,83.10,0.96,9.14,72.78,0.36,1.62,58.02,2.6,1530,29.67,AMD EPYC 7551 32-Core Processor,2,,
1788484675,676b5b7,stephen-len,official,30,30,1229,0.09,0.17,0.22,0.43,0.35,1.07,4.62,17.16,0.44,1.69,17.16,0.21,0.42,4.49,0.6,0,0.00,AMD Ryzen 5 7235HS,8,0,0
1788516924,cc6cbdb,stephen-len,official,30,30,1229,0.09,0.19,0.27,0.51,0.42,1.24,5.19,17.18,0.58,1.74,15.93,0.24,0.47,4.80,0.7,0,0.00,AMD Ryzen 5 7235HS,8,0,0
1788516970,4b75dab-dirty,stephen-len,official,30,30,1229,0.09,0.19,0.27,0.55,0.44,1.39,6.03,18.56,0.49,2.04,17.79,0.25,0.52,5.78,0.8,0,0.00,AMD Ryzen 5 7235HS,8,0,0
1788516992,4b75dab,instance-20260802-1723,official,30,30,1229,0.08,0.29,0.41,2.02,0.72,3.14,57.82,81.47,1.03,10.41,76.93,0.40,1.81,55.77,2.8,1680,30.12,AMD EPYC 7551 32-Core Processor,2,27,5
